pair_id,condition,condition_label,cue_type,variant,actual_person,candidate_person,is_correct,subject,prefix_text,full_text,target_form,candidate_form,candidate_text,candidate_type,candidate_n_tokens,candidate_tokens,candidate_token_ids,verb_start,verb_end,candidate_token_positions,candidate_read_positions,sentence_tokens,sentence_token_ids,notes,layer,sequence_log_prob_sum,sequence_log_prob_mean,sequence_logit_sum,sequence_logit_mean,token_log_probs,token_logits,token_vocab_ranks,first_token_id,first_token,first_token_vocab_rank,candidate_rank_sum,candidate_rank_mean,condition_case,condition_label_case,cue_type_case
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,0,-643.226806640625,-643.226806640625,3.812077760696411,3.812077760696411,-643.226807,3.812078,343,23301,gidiyorum,343,2,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,1,-487.8515625,-487.8515625,2.1608293056488037,2.1608293056488037,-487.851562,2.160829,865,23301,gidiyorum,865,5,5,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,2,-177.69117736816406,-177.69117736816406,1.396168828010559,1.396168828010559,-177.691177,1.396169,880,23301,gidiyorum,880,4,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,3,-210.47549438476562,-210.47549438476562,2.4968299865722656,2.4968299865722656,-210.475494,2.496830,340,23301,gidiyorum,340,3,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,4,-174.36753845214844,-174.36753845214844,2.349775552749634,2.349775552749634,-174.367538,2.349776,368,23301,gidiyorum,368,3,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,5,-8.252352714538574,-8.252352714538574,2.331523895263672,2.331523895263672,-8.252353,2.331524,300,23301,gidiyorum,300,2,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,6,-7.465579986572266,-7.465579986572266,3.323171615600586,3.323171615600586,-7.465580,3.323172,189,23301,gidiyorum,189,2,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,7,-7.0218048095703125,-7.0218048095703125,4.031490802764893,4.031490802764893,-7.021805,4.031491,116,23301,gidiyorum,116,3,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,8,-6.035080909729004,-6.035080909729004,5.048448085784912,5.048448085784912,-6.035081,5.048448,55,23301,gidiyorum,55,3,4,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,Ambiguous pro-drop,none,ambiguous_prodrop,1s,1s,True,,Her gün okula ,Her gün okula gidiyorum.,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301,No overt person cue before the target verb.,9,-3.996286392211914,-3.996286392211914,7.6608099937438965,7.6608099937438965,-3.996286,7.660810,10,23301,gidiyorum,10,2,4,ambiguous_prodrop,Ambiguous pro-drop,none
